song_id,entry_date,exit_date,days_on_playlist,peak_position,peak_date,time_to_peak
Buenas - Quevedo & SAIKO,2025-03-02,2025-03-12,11,39,2025-03-02,0
Buenas - Quevedo & Saiko,2024-09-24,2025-03-01,159,1,2024-09-24,0
Buscando Money - TWENTY SIX & Tayson Kryss,2025-02-02,2025-04-17,73,4,2025-02-15,13
Buscarte Lejos - Duki,2025-11-03,2025-11-09,7,28,2025-11-06,3
CACHÉ - Myke Towers,2025-08-24,2025-08-24,1,47,2025-08-24,0
CALL ME MAYBE - Duki,2024-12-10,2024-12-10,1,50,2024-12-10,0
CARITA TRISTE - Ana Mena & Emilia,2025-09-01,2025-11-23,84,9,2025-09-07,6
CARTERA & TACOS - Myke Towers,2024-11-25,2024-11-25,1,47,2024-11-25,0
CHAPIADORA.COM - Quevedo,2025-11-24,2025-11-27,4,8,2025-11-24,0
CHIHIRO - Billie Eilish,2025-05-19,2025-05-25,7,39,2025-05-19,0
CHORRITO PA LAS ANIMAS - Feid,2024-05-18,2024-06-14,28,32,2024-05-18,0
CHULA - JC Reyes,2024-12-28,2025-01-20,8,49,2025-01-17,20
CLASSY 101 - Feid,2024-12-02,2025-01-17,28,16,2024-12-02,0
CLASSY 101 - Feid & Young Miko,2024-12-01,2024-12-01,1,35,2024-12-01,0
COCO LOCO - Maluma,2024-07-01,2024-11-26,113,9,2024-08-06,36
COLMILLO - Tainy,2024-10-19,2024-11-14,9,18,2024-11-10,22
COMETA HALLEY - SAIKO,2025-04-28,2025-05-05,8,24,2025-04-28,0
COMO SUENAN LAS ESTRELLAS - SAIKO,2025-04-28,2025-05-19,22,24,2025-04-30,2
COMPETENCIA - Myke Towers,2025-08-24,2025-08-25,2,19,2025-08-24,0
COMUNA 3 - JC Reyes & The Rude Boyz,2025-05-16,2025-05-17,2,38,2025-05-17,1
COMUNA 3 - JC Reyes & The Rudeboyz,2025-05-18,2025-09-17,120,12,2025-06-05,18
CONTIGO (with Tiësto) - KAROL G & Tiësto,2025-02-17,2025-03-24,35,13,2025-02-18,1
CORAZÓN VACÍO - Maria Becerra,2024-07-05,2024-10-13,101,19,2024-07-19,14
CORLEONE - Saiko,2024-12-24,2025-01-15,20,21,2024-12-24,0
CORLEONE - Saiko & Yandel,2024-12-17,2024-12-23,7,16,2024-12-21,4
COSAS QUE NO TE DIJE - SAIKO,2025-03-02,2025-04-27,55,25,2025-03-04,2
COSAS QUE NO TE DIJE - Saiko,2024-08-16,2025-03-01,198,7,2024-12-12,118
COSMETICOS - Myke Towers,2024-11-25,2024-11-29,2,33,2024-11-25,0
CRUSH - Sky Rompiendo & Dei V,2025-04-07,2025-08-23,137,15,2025-04-27,20
CYBERTRUCK - Bad Bunny,2024-10-14,2024-10-21,8,8,2024-10-14,0
Cafe Malibú - Sech & Mora & Saiko,2024-07-23,2024-09-19,59,9,2024-07-25,2
Cangrinaje - Cruz Cafuné,2024-05-28,2024-05-28,1,48,2024-05-28,0
Capri Sun - B10 & Kilvertz,2025-07-31,2025-08-14,14,34,2025-08-05,5
Casanova - Soolking & Lola Indigo & Rvfv,2024-12-10,2025-05-29,168,1,2025-01-01,22
Caserio - Yandel & SAIKO,2025-03-10,2025-03-10,1,41,2025-03-10,0
Celine (with Kidd Keo) - Ghost Killer Track & Kidd Keo,2025-10-03,2025-11-27,55,9,2025-10-18,15
Cha Cha Cha - Käärijä,2024-05-18,2024-05-20,3,37,2024-05-18,0
Chulo pt.2 - Bad Gyal & Tokischa & Young Miko,2024-06-24,2024-10-13,87,22,2024-06-28,4
Cine 🚬 - Duki,2025-11-03,2025-11-03,1,42,2025-11-03,0
Classy 101 - Feid & Young Miko,2024-05-18,2024-11-30,182,7,2024-05-18,0
Clavaito - Chanel & Abraham Mateo,2024-05-18,2025-01-04,153,6,2024-06-02,15
Coco Chanel - Eladio Carrion,2024-05-18,2024-09-29,127,16,2024-05-24,6
Cohete - Shakira,2025-03-24,2025-03-30,6,21,2025-03-24,0
Columbia - Quevedo,2024-07-08,2025-11-02,463,1,2024-07-09,1
Committed - Rauw Alejandro,2025-11-17,2025-11-17,1,29,2025-11-17,0
Como Camarón - Estopa,2024-11-29,2025-02-21,35,32,2025-01-03,35
Conexión - Cano,2025-10-27,2025-11-14,14,27,2025-10-27,0
Conexión - Cano & JC Reyes,2025-10-25,2025-10-26,2,40,2025-10-26,1
Constelación - Duki,2025-11-03,2025-11-10,8,26,2025-11-03,0
Constelación - Duki & Lia Kali,2025-11-01,2025-11-02,2,29,2025-11-01,0
Copa Vacía - Shakira & Manuel Turizo,2024-07-02,2024-07-28,27,16,2024-07-02,0
Corazón Roto - Remix - Brray & Jhayco & Ryan Castro,2024-08-10,2024-09-13,33,26,2024-09-09,30
Corazón Roto pt. 3 - Brray & Anuel AA & Chencho Corleone,2024-09-13,2025-02-04,104,21,2024-09-27,14
Cosa Nuestra - Rauw Alejandro,2025-11-17,2025-11-18,2,16,2025-11-17,0
Cosas Pendientes - Maluma,2025-11-24,2025-11-27,2,37,2025-11-27,3
Cruel Summer - Taylor Swift,2025-06-01,2025-06-01,1,39,2025-06-01,0
Cuando Te Vi | CROSSOVER #5 - Big One & Maria Becerra & Trueno,2025-07-05,2025-10-28,114,11,2025-08-14,40
Cupido - Engel Montaz & Kuv507 & Latinnites Music,2025-04-18,2025-06-05,15,22,2025-04-23,5
Cupido - TINI,2024-05-18,2024-09-12,105,17,2024-05-19,1
CÓRCEGA - Mora,2024-08-30,2024-09-02,4,17,2024-08-30,0
Cómo Te Atreves - Morat,2025-03-02,2025-03-02,1,45,2025-03-02,0
Cúrame - Rauw Alejandro,2025-08-01,2025-08-16,15,41,2025-08-10,9
DE PLASTILINA - Lola Indigo & Pepe y Vizio,2024-10-21,2024-10-22,2,40,2024-10-21,0
DEGENERE 👑 (feat. benny blanco) - Myke Towers,2025-10-20,2025-11-27,39,1,2025-10-25,5
DEMO #5: nostalgIA - Spanglish Version - FlowGPT,2024-11-08,2024-11-09,2,12,2024-11-09,1
DEPORTIVO - Blessd & Anuel AA,2025-11-16,2025-11-23,4,35,2025-11-23,7
DESATAAA - Ovy On The Drums & Myke Towers & SAIKO,2025-03-17,2025-05-24,66,6,2025-03-21,4
DESATAAA - Ovy On The Drums & Myke Towers & Saiko,2025-04-26,2025-07-09,47,28,2025-05-28,32
DESPECHÁ - ROSALÍA,2024-05-22,2025-01-02,51,39,2024-06-12,21
DESQUITE - Feid,2024-12-02,2024-12-02,1,39,2024-12-02,0
DIABLA - Los Diozes,2025-10-27,2025-11-20,25,17,2025-11-03,7
DIABLITA (feat. YOVNGCHIMI) - Myke Towers,2025-08-24,2025-09-04,9,34,2025-08-24,0
DIAMONDS - Mora,2024-08-30,2024-09-02,4,18,2024-08-30,0
DILUVIO - Rauw Alejandro,2024-10-21,2025-10-14,188,3,2024-11-16,26
DINERO y FAMA (feat. Omar Montes) - Myke Towers,2025-08-24,2025-08-24,1,40,2025-08-24,0
DONDE SE APRENDE A QUERER? - Mora,2024-08-30,2025-02-17,152,3,2024-08-30,0
DUBAI - Trueno & Beny Jr,2024-06-15,2024-06-22,8,47,2024-06-17,2
DURO - Quevedo,2025-11-02,2025-11-27,26,1,2025-11-02,0
Dararí - Aitana,2024-09-24,2024-09-29,6,13,2024-09-24,0
Después De La 1 - Cris Mj & FloyyMenor,2025-09-19,2025-11-23,63,11,2025-09-27,8
Detrás del DJ - Rels B,2025-04-28,2025-04-28,1,39,2025-04-28,0
Diabólica - Cris Mj,2025-03-13,2025-08-19,156,14,2025-03-23,10
Dicelo - Lianet Rivero & Lia & Gatillo,2024-10-20,2024-10-23,4,24,2024-10-21,1
Die With A Smile - Lady Gaga & Bruno Mars,2025-08-31,2025-11-23,48,29,2025-11-15,76
Dios #1 - Cruz Cafuné,2024-05-28,2024-05-28,1,43,2024-05-28,0
Doblexxó - J Balvin,2025-08-10,2025-08-23,12,33,2025-08-10,0
Duro De Verdad pt.2 - Los Sufridos,2025-09-20,2025-09-20,1,39,2025-09-20,0
Duro De Verdad pt.2 - Los Sufridos & Bad Gyal,2025-09-21,2025-11-27,68,1,2025-09-27,6
Déjame Entrar - Rauw Alejandro,2025-07-25,2025-11-23,9,17,2025-11-17,115
EL CHACAL - Mora,2024-08-30,2024-09-02,4,10,2024-08-30,0
EL CONDENAO - Lola Indigo,2024-12-17,2025-01-04,12,35,2024-12-22,5
EL ESTRIBILLO - Quevedo,2025-11-24,2025-11-27,4,16,2025-11-24,0
EL PANTALON - RUMBAS - Omar Montes,2025-06-02,2025-09-12,101,2,2025-06-16,14
EL TONTO - Lola Indigo,2024-05-18,2025-01-10,205,2,2024-05-18,0
